pair_id,query,positive_standard_id,negative_standard_id,label,difficulty,reason,source,record_type,synthetic_flag
PAIR-15703899C23D97F4,"Need procurement guidance for Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",MSV1-A44D6D9DD02EF056,MSV1-FA3A0ADD34B96A3E,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-C1118D7FA4F7310D,Need procurement guidance for Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),MSV1-46674A7707248124,MSV1-B76B36CFE0205E0F,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-9615A1DA5A9D3104,Need procurement guidance for Ophthalmic Instruments Air Injection Cannula - Specification First Revision,MSV1-8F9336B1BA4C970D,MSV1-F331943312475BC2,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-1F3FD0DD4870AEE8,"Need procurement guidance for Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",MSV1-A618E538928F2183,MSV1-EC909390C18B5C68,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-349A23F52EE6D0D5,Need procurement guidance for Soy Amrakhand,MSV1-E0162E31EE169F33,MSV1-7466757645E5CBD4,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-877D62AEB4BB20D0,Need procurement guidance for Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),MSV1-899135D1E001E554,MSV1-C082970A40867853,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-D63BFA977F7B9984,"Need procurement guidance for Hub axle, front for moped - Specification (First Revision)",MSV1-39AC68A9CD7A26AD,MSV1-C5A4476CBA1232B2,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-DB168489A9E45E41,Need procurement guidance for Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,MSV1-603CE15978E46BFD,MSV1-79DEF9A53DDEC656,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-91285D660CE80E38,"Need procurement guidance for Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",MSV1-9987B09C822D494D,MSV1-47E6442A1C74B0C2,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-45AC9D316AB57168,Need procurement guidance for Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),MSV1-3D8093EAAE511881,MSV1-DC764A7B31A2899F,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-3D3EE0E5249A2E4C,Need procurement guidance for Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),MSV1-94A2F3B11F7EA713,MSV1-5658EAA7B071864C,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-9EBC8BF9A7EDFFDD,"Need procurement guidance for Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",MSV1-01D80F37B360C671,MSV1-E14ED926E834747F,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-D2CE4D4F5CCE2BCF,Need procurement guidance for SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),MSV1-9C953BC6A83742FF,MSV1-6AD14C2BE4FA1B37,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-E6B3BEBBF5DC402B,Need procurement guidance for Textiles — Grading of Uncut Indian Mesta (First Revision),MSV1-087B866DBA81E85E,MSV1-8B56191E49BEC03C,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-D9B2A6A8E10F88AC,"Need procurement guidance for Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",MSV1-FE5E2ECF6D21CF29,MSV1-05EFC50BCDF6CC63,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-A7D6590320954E35,Need procurement guidance for Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,MSV1-0C690155FE0085AF,MSV1-D8A84314C86FE58B,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
