requirement_id,tender_id,requirement_text,product,category,technical_attributes,mandatory_constraints,quantity,unit,record_type,synthetic_flag
SYN-REQ-00001,SYN-TENDER-00001,"Procurement requirement for product/service conforming to Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen","Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Methods of Tests,sampling; test; paints; varnishes; related; products; 5; mechanical; tests; sec; 6; determination,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00002,SYN-TENDER-00002,Procurement requirement for product/service conforming to Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Product Specification,injection; containers; accessories; 4; closures; vials; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00003,SYN-TENDER-00003,Procurement requirement for product/service conforming to Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Product Specification,ophthalmic; instruments; air; injection; cannula; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00004,SYN-TENDER-00004,"Procurement requirement for product/service conforming to Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)","Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",Product Specification,fire; hose; delivery; couplings; branch; pipe; nozzles; nozzle; spanner; fifth; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00005,SYN-TENDER-00005,Procurement requirement for product/service conforming to Soy Amrakhand,Soy Amrakhand,Product Specification,soy; amrakhand,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00006,SYN-TENDER-00006,Procurement requirement for product/service conforming to Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),Code of Practice,measurement; works; river; valley; projects; dams; appurtenant; structures; 5; masonry; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00007,SYN-TENDER-00007,"Procurement requirement for product/service conforming to Hub axle, front for moped - Specification (First Revision)","Hub axle, front for moped - Specification (First Revision)",Product Specification,hub; axle; front; moped; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00008,SYN-TENDER-00008,Procurement requirement for product/service conforming to Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,Product Specification,arjuna; terminalia; roxb; ex; dc; wight; arn; stem; bark; use; traditional; medicine,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00009,SYN-TENDER-00009,"Procurement requirement for product/service conforming to Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements","Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",Others,information; security; cybersecurity; privacy; protection; evaluation; criteria; it; 5; pre; defined; packages,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00010,SYN-TENDER-00010,Procurement requirement for product/service conforming to Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),Methods of Tests,test; coated; treated; fabrics; 13; rubber; or; plastics; determination; crush; resistance; first,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00011,SYN-TENDER-00011,Procurement requirement for product/service conforming to Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),Methods of Tests,textiles; colour; fastness; disperse; dyes; on; polyester; fabrics; carbonization; determination; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00012,SYN-TENDER-00012,"Procurement requirement for product/service conforming to Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)","Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",Methods of Tests,power; transformers; 3; insulation; levels; dielectric; tests; external; clearances; air; fourth; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00013,SYN-TENDER-00013,Procurement requirement for product/service conforming to SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),Product Specification,pentaerythritol; explosive; industry; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00014,SYN-TENDER-00014,Procurement requirement for product/service conforming to Textiles — Grading of Uncut Indian Mesta (First Revision),Textiles — Grading of Uncut Indian Mesta (First Revision),Code of Practice,textiles; grading; uncut; indian; mesta; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00015,SYN-TENDER-00015,"Procurement requirement for product/service conforming to Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)","Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",Dimensions,rolling; bearings; radial; boundary; dimensions; general; plan; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00016,SYN-TENDER-00016,Procurement requirement for product/service conforming to Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,System Standard,information; technology; open; connectivity; foundation; ocf; 6; resource; alljoyn; interface; mapping,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00017,SYN-TENDER-00017,Procurement requirement for product/service conforming to Pesticide - Pirimiphos methyl space spray specification,Pesticide - Pirimiphos methyl space spray specification,Product Specification,pesticide; pirimiphos; methyl; space; spray,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00018,SYN-TENDER-00018,Procurement requirement for product/service conforming to Graphical symbols - Creation and design of public information symbols - Requirements,Graphical symbols - Creation and design of public information symbols - Requirements,Safety Standard,graphical; symbols; creation; design; public; information,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00019,SYN-TENDER-00019,Procurement requirement for product/service conforming to Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),Safety Standard,automotive; vehicles; external; projection; 1; performance; category; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00020,SYN-TENDER-00020,Procurement requirement for product/service conforming to Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,Product Specification,man; riding; car; by; rope; haulage; system; transportation; persons; mines,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00021,SYN-TENDER-00021,Procurement requirement for product/service conforming to METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,Code of Practice,measurement; work; river; valley; projects; dams; appurtenant; structures; 12; topographical; surveys,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00022,SYN-TENDER-00022,Procurement requirement for product/service conforming to Industrial automation glossary,Industrial automation glossary,Terminology,industrial; automation; glossary,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00023,SYN-TENDER-00023,Procurement requirement for product/service conforming to Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,Methods of Tests,earth; moving; machinery; loaders; backhoe; 1; calculation; rated; operating; capacity; test; verifying,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00024,SYN-TENDER-00024,Procurement requirement for product/service conforming to ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),Product Specification,road; construction; maintenance; equipment; soil; stabilizers; terminology; commercial; adoption; iso; 15688,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00025,SYN-TENDER-00025,Procurement requirement for product/service conforming to Specification for playgroijnd equipment for parks: Part ii horizontal bars,Specification for playgroijnd equipment for parks: Part ii horizontal bars,Product Specification,playgroijnd; equipment; parks; ii; horizontal; bars,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00026,SYN-TENDER-00026,Procurement requirement for product/service conforming to Head configuration and gauging of countersunk head screws,Head configuration and gauging of countersunk head screws,Terminology,head; configuration; gauging; countersunk; screws,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
