tender_id,title,department,category,description,source,source_date,record_type,synthetic_flag
SYN-TENDER-00001,"Synthetic procurement: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",SYNTHETIC,Methods of Tests,"Procurement requirement for product/service conforming to Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00002,Synthetic procurement: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00003,Synthetic procurement: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Ophthalmic Instruments Air Injection Cannula - Specification First Revision,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00004,"Synthetic procurement: Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",SYNTHETIC,Product Specification,"Procurement requirement for product/service conforming to Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00005,Synthetic procurement: Soy Amrakhand,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Soy Amrakhand,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00006,Synthetic procurement: Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),SYNTHETIC,Code of Practice,Procurement requirement for product/service conforming to Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00007,"Synthetic procurement: Hub axle, front for moped - Specification (First Revision)",SYNTHETIC,Product Specification,"Procurement requirement for product/service conforming to Hub axle, front for moped - Specification (First Revision)",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00008,Synthetic procurement: Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00009,"Synthetic procurement: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",SYNTHETIC,Others,"Procurement requirement for product/service conforming to Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00010,Synthetic procurement: Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
