case_id,query_id,standard_id,candidate_title,case_type,expected_action,record_type,validation_status
HC-V03-000001,SYN-REQ-00001,MSV1-963535220932BDC9,"Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 4 Print free test (Fourth Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000002,SYN-REQ-00001,MSV1-EA0B52630C714976,"Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical test on paint films: Sec 1 hardness tests (Fourth Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000003,SYN-REQ-00002,MSV1-46674A7707248124,Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000004,SYN-REQ-00002,MSV1-B39E900FBBF39B26,Injection Containers and Accessories Part 5 Freeze Drying Closures for Injection Vials,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000005,SYN-REQ-00003,MSV1-8F9336B1BA4C970D,Ophthalmic Instruments Air Injection Cannula - Specification First Revision,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000006,SYN-REQ-00003,MSV1-1EC80992C5D9CE56,ENT Surgery Instruments - Suction Irrigation Cannula - Specification (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000007,SYN-REQ-00004,MSV1-335B08464C61BA5C,"Specification for couplings, branch pipe, nozzle used in hose reel tubing for fire fighting (First Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000008,SYN-REQ-00004,MSV1-4C67C676705CA720,"Branch pipe, universal for fire fighting purpose - Specification (Second Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000009,SYN-REQ-00005,MSV1-E0162E31EE169F33,Soy Amrakhand,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000010,SYN-REQ-00005,MSV1-50EAF85F04843A2F,Energy Services — Guidelines for the Assessment and Improvement of the Energy Service to Users,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000011,SYN-REQ-00006,MSV1-57287C12F1D78F52,Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 1 excavation for foundation (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000012,SYN-REQ-00006,MSV1-B1524298717C7F6A,Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 7 joints (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000013,SYN-REQ-00007,MSV1-39AC68A9CD7A26AD,"Hub axle, front for moped - Specification (First Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000014,SYN-REQ-00007,MSV1-0A9AFD85166F7728,"Hub axle, rear, for moped - Specification (First Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000015,SYN-REQ-00008,MSV1-6AD0C319A7D91EDB,Lodhra (Symplocos racemosa Roxb.) Stem bark for use in Traditional Medicine Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000016,SYN-REQ-00008,MSV1-6AB61EF743E6F7F7,Sheesham Dalbergia sissoo Roxb dried Stem Bark for use in Traditional Medicine Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000017,SYN-REQ-00009,MSV1-4CDE5C39D67EEFDA,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 4: Framework for the Specification of Evaluation Methods and Activities",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000018,SYN-REQ-00009,MSV1-BCD9F3EEE17224A2,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 3: Security Assurance Components (Third Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000019,SYN-REQ-00010,MSV1-AAC57D2BF17EFD5C,Methods of Test for Coated and Treated Fabrics: Part 9 Rubber- or Plastics-Coated Fabrics - Determination of Blocking Resistance (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000020,SYN-REQ-00010,MSV1-98241D588FEDCF5A,Methods of Test for Coated and Treated Fabrics: Part 4 Rubber- or Plastics-Coated Fabrics - Determination of Resistance to Damage by Flexing (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000021,SYN-REQ-00011,MSV1-53566C4BC7E9D913,Textiles - Methods for Determination of Colour Fastness of Textile Materials to Sublimation (SECOND REVISION),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000022,SYN-REQ-00011,MSV1-E73FAD7D3F58EBE7,Textiles — Colour Fastness of Textile Materials to Washing in the Presence of Sodium Hypochlorite — Method for Determination (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000023,SYN-REQ-00012,MSV1-F7A7E5BBAD152C46,Connectors for Electronic Equipment Tests and Measurements Part 3 Insulation Tests Section 1 Test 3A: Insulation-Resistance,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000024,SYN-REQ-00012,MSV1-267EB8A04BF8E475,Methods of Sampling and Test for Paints Varnishes and Related Products Part 1 Tests on Liquid Paints General and Physical Section 3 Preparation of Panels (Fourth Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000025,SYN-REQ-00013,MSV1-9C953BC6A83742FF,SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000026,SYN-REQ-00013,MSV1-93BE1963672E7579,Specification for pentaerythritol (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000027,SYN-REQ-00014,MSV1-087B866DBA81E85E,Textiles — Grading of Uncut Indian Mesta (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000028,SYN-REQ-00014,MSV1-76A7D564FA236BB6,Textiles — Grading of Uncut Indian Bimli (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000029,SYN-REQ-00015,MSV1-FE5E2ECF6D21CF29,"Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000030,SYN-REQ-00015,MSV1-1679E3647B6CD1A4,"Rolling bearings -- Thrust bearings -- Boundary dimensions, general plan (Second Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
