tender_id,title,description,target_standard_id,record_type,synthetic_flag,validation_status
SYN-T-00001,"Supply of Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen","Need applicable Indian Standard for Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",MSV1-A44D6D9DD02EF056,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00002,Supply of Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Need applicable Indian Standard for Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),MSV1-46674A7707248124,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00003,Supply of Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Need applicable Indian Standard for Ophthalmic Instruments Air Injection Cannula - Specification First Revision,MSV1-8F9336B1BA4C970D,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00004,"Supply of Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)","Need applicable Indian Standard for Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",MSV1-A618E538928F2183,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00005,Supply of Soy Amrakhand,Need applicable Indian Standard for Soy Amrakhand,MSV1-E0162E31EE169F33,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00006,Supply of Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),Need applicable Indian Standard for Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),MSV1-899135D1E001E554,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00007,"Supply of Hub axle, front for moped - Specification (First Revision)","Need applicable Indian Standard for Hub axle, front for moped - Specification (First Revision)",MSV1-39AC68A9CD7A26AD,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00008,Supply of Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,Need applicable Indian Standard for Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,MSV1-603CE15978E46BFD,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00009,"Supply of Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements","Need applicable Indian Standard for Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",MSV1-9987B09C822D494D,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00010,Supply of Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),Need applicable Indian Standard for Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),MSV1-3D8093EAAE511881,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00011,Supply of Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),Need applicable Indian Standard for Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),MSV1-94A2F3B11F7EA713,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00012,"Supply of Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)","Need applicable Indian Standard for Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",MSV1-01D80F37B360C671,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00013,Supply of SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),Need applicable Indian Standard for SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),MSV1-9C953BC6A83742FF,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00014,Supply of Textiles — Grading of Uncut Indian Mesta (First Revision),Need applicable Indian Standard for Textiles — Grading of Uncut Indian Mesta (First Revision),MSV1-087B866DBA81E85E,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-T-00015,"Supply of Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)","Need applicable Indian Standard for Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",MSV1-FE5E2ECF6D21CF29,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
