pair_id,query_id,negative_standard_id,pair_type,reason,similarity_score,validation_status
HNP-V03-000001,SYN-REQ-00001,MSV1-963535220932BDC9,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4054,NEEDS_EXPERT_VALIDATION
HNP-V03-000002,SYN-REQ-00001,MSV1-EA0B52630C714976,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3846,NEEDS_EXPERT_VALIDATION
HNP-V03-000003,SYN-REQ-00002,MSV1-46674A7707248124,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6471,NEEDS_EXPERT_VALIDATION
HNP-V03-000004,SYN-REQ-00002,MSV1-B39E900FBBF39B26,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000005,SYN-REQ-00003,MSV1-8F9336B1BA4C970D,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5333,NEEDS_EXPERT_VALIDATION
HNP-V03-000006,SYN-REQ-00003,MSV1-1EC80992C5D9CE56,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2632,NEEDS_EXPERT_VALIDATION
HNP-V03-000007,SYN-REQ-00004,MSV1-335B08464C61BA5C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3462,NEEDS_EXPERT_VALIDATION
HNP-V03-000008,SYN-REQ-00004,MSV1-4C67C676705CA720,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.25,NEEDS_EXPERT_VALIDATION
HNP-V03-000009,SYN-REQ-00005,MSV1-E0162E31EE169F33,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2222,NEEDS_EXPERT_VALIDATION
HNP-V03-000010,SYN-REQ-00005,MSV1-50EAF85F04843A2F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.1667,NEEDS_EXPERT_VALIDATION
HNP-V03-000011,SYN-REQ-00006,MSV1-57287C12F1D78F52,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5926,NEEDS_EXPERT_VALIDATION
HNP-V03-000012,SYN-REQ-00006,MSV1-B1524298717C7F6A,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5769,NEEDS_EXPERT_VALIDATION
HNP-V03-000013,SYN-REQ-00007,MSV1-39AC68A9CD7A26AD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5714,NEEDS_EXPERT_VALIDATION
HNP-V03-000014,SYN-REQ-00007,MSV1-0A9AFD85166F7728,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4667,NEEDS_EXPERT_VALIDATION
HNP-V03-000015,SYN-REQ-00008,MSV1-6AD0C319A7D91EDB,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.32,NEEDS_EXPERT_VALIDATION
HNP-V03-000016,SYN-REQ-00008,MSV1-6AB61EF743E6F7F7,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3077,NEEDS_EXPERT_VALIDATION
